amount_of_play,pic_url,timeUp,title,uper
,,,,
385.9万,https//www.bilibili.com/video/av4050443?from=search&seid=8866207153728704082,2016/3/9,[小甲鱼]零基础入门学习Python,IT搬運工
,,,,
238.4万,https//www.bilibili.com/video/av14184325?from=search&seid=8866207153728704082,2017/9/5,Python教程_600集Python从入门到精通教程（懂中文就能学会）,黑马程序员-
,,,,
18.3万,https//www.bilibili.com/video/av35698354?from=search&seid=8866207153728704082,2018/11/10,Python编程 从入门到实践（入门篇）完结,sailorlisa
,,,,
469,https//www.bilibili.com/video/av57957614?from=search&seid=8866207153728704082,2019/7/5,【2019千锋】Python全套视频教程，史上最经典,学点it大技术
,,,,
3.6万,https//www.bilibili.com/video/av50240377?from=search&seid=8866207153728704082,2019/4/23,2019 Python教程400集  持续更新！,浅唱一生有你
,,,,
1.8万,https//www.bilibili.com/video/av54307037?from=search&seid=8866207153728704082,2019/6/2,一个初中生用Python制作的小游戏   大神轻喷,Star_EZ
,,,,
57.0万,https//www.bilibili.com/video/av19956343?from=search&seid=8866207153728704082,2018/2/23,千锋python全套视频教程，400全集，史上最经典,java世界第一
,,,,
9958,https//www.bilibili.com/video/av37078044?from=search&seid=8866207153728704082,2018/11/30,如何在Windows 10下载和安装Python 3.7,平常心-_-
,,,,
117,https//www.bilibili.com/video/av58413073?from=search&seid=8866207153728704082,2019/7/9,【蔡徐坤】用Python实现鸡你太美（简介附源码）,iamrulw
,,,,
1.7万,https//www.bilibili.com/video/av33618159?from=search&seid=8866207153728704082,2018/10/11,2019马哥python教程-Python框架Django开发实战,马哥教育高薪实战中心
,,,,
273,https//www.bilibili.com/video/av52096995?from=search&seid=8866207153728704082,2019/5/11,亁颐堂乾颐盾现任明教教主Python Scapy.1,我的世界56
,,,,
8416,https//www.bilibili.com/video/av41467164?from=search&seid=8866207153728704082,2019/1/23,Python从入门到精通,有毒的疾风
,,,,
1.2万,https//www.bilibili.com/video/av46256220?from=search&seid=8866207153728704082,2019/3/14,【数据结构与算法】Python数据结构与算法（精讲版）,自学IT的工程狮
,,,,
3.0万,https//www.bilibili.com/video/av22370313?from=search&seid=8866207153728704082,2018/4/21,11小时 python自动化测试从入门到精通，挑战年薪30W,零檬信息技术
,,,,
9.2万,https//www.bilibili.com/video/av45580039?from=search&seid=8866207153728704082,2019/3/7,当你放弃C语言而去学Python是什么感觉？,偶尔有点小迷糊
,,,,
7.9万,https//www.bilibili.com/video/av46693539?from=search&seid=8866207153728704082,2019/3/24,python全栈工程师 基础+就业班（完）   B站时间最长的python教程,爱笑的代码狗
,,,,
32.4万,https//www.bilibili.com/video/av55444691?from=search&seid=8866207153728704082,2019/6/13,"Python63行代码实现俄罗斯方块!史上最简!无lambda函数,无import文件关联,刷新个人记录!(玩得依旧很蔡)",Tonymot
,,,,
1.5万,https//www.bilibili.com/video/av47453086?from=search&seid=8866207153728704082,2019/3/27,python游戏脚本制作（游戏游戏你长大了，你要学会自己做日常了）,公孙秒秒秒
,,,,
