[小甲鱼]零基础入门学习Python,https//www.bilibili.com/video/av4050443?from=search&seid=11738418315163805743,386.0万,IT搬運工,2016-03-09
Python教程_600集Python从入门到精通教程（懂中文就能学会）,https//www.bilibili.com/video/av14184325?from=search&seid=11738418315163805743,238.4万,黑马程序员-,2017-09-05
Python编程 从入门到实践（入门篇）完结,https//www.bilibili.com/video/av35698354?from=search&seid=11738418315163805743,18.3万,sailorlisa,2018-11-10
【2019千锋】Python全套视频教程，史上最经典,https//www.bilibili.com/video/av57957614?from=search&seid=11738418315163805743,500,学点it大技术,2019-07-05
2019 Python教程400集  持续更新！,https//www.bilibili.com/video/av50240377?from=search&seid=11738418315163805743,3.6万,浅唱一生有你,2019-04-23
一个初中生用Python制作的小游戏   大神轻喷,https//www.bilibili.com/video/av54307037?from=search&seid=11738418315163805743,1.8万,Star_EZ,2019-06-02
千锋python全套视频教程，400全集，史上最经典,https//www.bilibili.com/video/av19956343?from=search&seid=11738418315163805743,57.0万,java世界第一,2018-02-23
如何在Windows 10下载和安装Python 3.7,https//www.bilibili.com/video/av37078044?from=search&seid=11738418315163805743,9971,平常心-_-,2018-11-30
【蔡徐坤】用Python实现鸡你太美（简介附源码）,https//www.bilibili.com/video/av58413073?from=search&seid=11738418315163805743,176,iamrulw,2019-07-09
2019马哥python教程-Python框架Django开发实战,https//www.bilibili.com/video/av33618159?from=search&seid=11738418315163805743,1.7万,马哥教育高薪实战中心,2018-10-11
亁颐堂乾颐盾现任明教教主Python Scapy.1,https//www.bilibili.com/video/av52096995?from=search&seid=11738418315163805743,273,我的世界56,2019-05-11
Python从入门到精通,https//www.bilibili.com/video/av41467164?from=search&seid=11738418315163805743,8434,有毒的疾风,2019-01-23
【数据结构与算法】Python数据结构与算法（精讲版）,https//www.bilibili.com/video/av46256220?from=search&seid=11738418315163805743,1.2万,自学IT的工程狮,2019-03-14
11小时 python自动化测试从入门到精通，挑战年薪30W,https//www.bilibili.com/video/av22370313?from=search&seid=11738418315163805743,3.0万,零檬信息技术,2018-04-21
当你放弃C语言而去学Python是什么感觉？,https//www.bilibili.com/video/av45580039?from=search&seid=11738418315163805743,9.2万,偶尔有点小迷糊,2019-03-07
python全栈工程师 基础+就业班（完）   B站时间最长的python教程,https//www.bilibili.com/video/av46693539?from=search&seid=11738418315163805743,7.9万,爱笑的代码狗,2019-03-24
"Python63行代码实现俄罗斯方块!史上最简!无lambda函数,无import文件关联,刷新个人记录!(玩得依旧很蔡)",https//www.bilibili.com/video/av55444691?from=search&seid=11738418315163805743,32.4万,Tonymot,2019-06-13
python游戏脚本制作（游戏游戏你长大了，你要学会自己做日常了）,https//www.bilibili.com/video/av47453086?from=search&seid=11738418315163805743,1.5万,公孙秒秒秒,2019-03-27
Python爬取数据并进行可视化展示,https//www.bilibili.com/video/av20319191?from=search&seid=11738418315163805743,5.4万,嗨学Python,2018-03-03
刚用Python写了个扫雷脚本，8s完成游戏,https//www.bilibili.com/video/av47288166?from=search&seid=11738418315163805743,2.1万,coc兔子,2019-03-25
Python400集（第一季）,https//www.bilibili.com/video/av27140815?from=search&seid=6658852644690646239,17.9万,vecjt,2018-07-18
利用Python获取WiFi密码,https//www.bilibili.com/video/av41463533?from=search&seid=6658852644690646239,2.0万,嗨学Python,2019-01-23
基于pycharm python从入门到项目实战,https//www.bilibili.com/video/av45962943?from=search&seid=6658852644690646239,2.9万,桔子IT自习室,2019-03-11
马哥 Python 实战教程：Python Django 从零学会写网站（持续更新）,https//www.bilibili.com/video/av55896737?from=search&seid=6658852644690646239,3874,马哥高薪IT实战,2019-06-17
python3 基础 中文教程,https//www.bilibili.com/video/av9445926?from=search&seid=6658852644690646239,1.9万,simon1223,2017-03-28
机器学习算法-2017邹博最新（Python版）,https//www.bilibili.com/video/av23585080?from=search&seid=6658852644690646239,8.0万,亦卿wish,2018-05-18
2019最新python教程，新手小白也适合，国外大佬带你从入门到精通YouTube百万播放量,https//www.bilibili.com/video/av56646486?from=search&seid=6658852644690646239,3728,非要让填个昵称,2019-06-24
4天学会python机器学习与量化交易,https//www.bilibili.com/video/av55456917?from=search&seid=6658852644690646239,3686,黑马程序员粉丝,2019-06-13
Python爬虫从入门到高级实战【92集】千锋Python高级教程,https//www.bilibili.com/video/av37027372?from=search&seid=6658852644690646239,9.2万,York1996,2018-11-29
2019年，大家都在用 Python干啥？,https//www.bilibili.com/video/av56523387?from=search&seid=6658852644690646239,5765,PegasusWang,2019-06-23
【Python】PyAutoGUI - 注意了，该写个游戏辅助了！,https//www.bilibili.com/video/av54966959?from=search&seid=6658852644690646239,6896,小马视频,2019-06-08
【IT】Python从入门到放弃（2016）【全】,https//www.bilibili.com/video/av8019257?from=search&seid=6658852644690646239,20.2万,庄七,2017-01-15
371集带你学会Python教程|传智播客,https//www.bilibili.com/video/av55177217?from=search&seid=6658852644690646239,6461,传智播客,2019-06-10
【Python】这可能是你见过的最简洁最没有废话的Python教程,https//www.bilibili.com/video/av5236569?from=search&seid=12001941602252030277,22.6万,shr1992,2016-07-07
Python黑科技—暴力破解邻居家wifi密码,https//www.bilibili.com/video/av56807830?from=search&seid=16900449613698937194,2626,逻辑python院,2019-06-25
20行python造个稳定器，手把手教你（新手，各领域）就可以用树莓派制作简单的拍摄稳定器,https//www.bilibili.com/video/av55863831?from=search&seid=6658852644690646239,4299,格物创意官方,2019-06-17
Python 项目实战视频教程全集（105P）| 26 小时从入门到精通,https//www.bilibili.com/video/av48921588?from=search&seid=6658852644690646239,1.5万,Java基基,2019-04-11
Python75行代码实现俄罗斯方块游戏-完整代码教程,https//www.bilibili.com/video/av55349091?from=search&seid=12001941602252030277,8881,Tonymot,2019-06-12
Python语言程序设计_北京理工大学,https//www.bilibili.com/video/av42408424?from=search&seid=12001941602252030277,2.5万,大学课程君,2019-02-02
python3.7(64位)下载及安装,https//www.bilibili.com/video/av29748240?from=search&seid=16900449613698937194,1.2万,自在极意喵,2018-08-19
python新手强烈推荐教程：爬虫入门,https//www.bilibili.com/video/av19954075?from=search&seid=16900449613698937194,9.0万,python学习者,2018-02-23
利用Python实现国家财政趋势演示！,https//www.bilibili.com/video/av58210266?from=search&seid=6658852644690646239,691,python数据分析,2019-07-07
