标题,位置,面积,面向,室,厅,卫,价格
志强北园2室1厅南/北,海淀-小西天,56㎡,南北,2,1,1,6800 元/月
整租·车道沟南里1室0厅南,海淀-紫竹桥,15㎡,南,1,0,1,2800 元/月
整租·团结湖北五条2室1厅东/南,朝阳-团结湖,81㎡,东南,2,1,1,9800 元/月
整租·中建一局北院2室2厅南/北,丰台-七里庄,79㎡,南北,2,2,1,5800 元/月
整租·广渠家园2室1厅东,东城-广渠门,51㎡,东,2,1,1,5900 元/月
整租·泥洼路5号院2室1厅南/北,丰台-七里庄,61㎡,南北,2,1,1,6000 元/月
花园闸小区2室1厅西/北,朝阳-定福庄,62㎡,西北,2,1,1,6200 元/月
整租·中建一局南院2室1厅南,丰台-七里庄,48㎡,南,2,1,1,5200 元/月
整租·铭科苑2室1厅西,海淀-西二旗,72㎡,西,2,1,1,6600 元/月
整租·新村二里2室1厅南/北,丰台-玉泉营,56㎡,南北,2,1,1,4000 元/月
石榴园北里小区2室1厅南/北,丰台-刘家窑,65㎡,南北,2,1,1,6200 元/月
石榴园北里小区1室1厅南,丰台-刘家窑,50㎡,南,1,1,1,5500 元/月
整租·十里堡北里2室1厅东,朝阳-十里堡,62㎡,东,2,1,1,6800 元/月
金蝉北里1室1厅南/北,朝阳-垡头,50㎡,南北,1,1,1,4400 元/月
葛村西里2室1厅南,丰台-玉泉营,58㎡,南,2,1,1,4500 元/月
定福庄南里3号院1室1厅南,朝阳-定福庄,53㎡,南,1,1,1,4400 元/月
整租·美然动力A1区2室1厅南/北,朝阳-定福庄,97㎡,南北,2,1,1,7500 元/月
博雅西园3室2厅南/北,海淀-马连洼,159㎡,南北,3,2,2,13000 元/月
华龙苑南里3室1厅南/北,昌平-霍营,71㎡,南北,3,1,1,6600 元/月
华龙苑中里2室1厅东南,昌平-霍营,109㎡,东南,2,1,1,6000 元/月
华龙苑中里2室1厅东/北,昌平-霍营,51㎡,东北,2,1,1,5100 元/月
华龙苑中里2室1厅南/北,昌平-霍营,55㎡,南北,2,1,1,5700 元/月
华龙苑中里2室1厅南/北,昌平-霍营,56㎡,南北,2,1,1,5200 元/月
飘HOME2室1厅西南,朝阳-酒仙桥,89㎡,西南,2,1,1,9500 元/月
金尚嘉园1室1厅西,海淀-牡丹园,116㎡,西,1,1,1,8000 元/月
整租·永兴里3室1厅南/北,丰台-丰台其它,69㎡,南北,3,1,1,3500 元/月
永定路85号院2室1厅东南,海淀-五棵松,54㎡,东南,2,1,1,6000 元/月
风雅园二区2室2厅南/北,昌平-回龙观,93㎡,南北,2,2,1,6200 元/月
刘家窑南里2室1厅南/北,丰台-蒲黄榆,66㎡,南北,2,1,1,6400 元/月
整租·刘家窑南里1室1厅南,丰台-蒲黄榆,43㎡,南,1,1,1,4800 元/月
整租·塔院小区3室1厅南/北,海淀-牡丹园,81㎡,南北,3,1,1,11000 元/月
整租·塔院小区2室1厅南,海淀-牡丹园,66㎡,南,2,1,1,9000 元/月
塔院小区1室1厅南,海淀-牡丹园,41㎡,南,1,1,1,5800 元/月
整租·玉阜嘉园2室1厅南,海淀-玉泉路,112㎡,南,2,1,1,8800 元/月
整租·龙博苑三区1室1厅南/北,昌平-回龙观,59㎡,南北,1,1,1,5400 元/月
和义东里五区3室1厅南/北,丰台-和义,80㎡,南北,3,1,1,5300 元/月
前泥洼小区2室1厅南/北,丰台-丽泽,60㎡,南北,2,1,1,5400 元/月
整租·磨房北里2室1厅南,朝阳-北工大,57㎡,南,2,1,1,6100 元/月
整租·龙翔路小区1室1厅南,海淀-牡丹园,44㎡,南,1,1,1,5500 元/月
整租·八里庄东里3室1厅南/北,朝阳-四惠,71㎡,南北,3,1,1,6800 元/月
整租·八里庄东里2室1厅南/北,朝阳-四惠,60㎡,南北,2,1,1,6600 元/月
中纺里2室1厅南,朝阳-三里屯,50㎡,南,2,1,1,7800 元/月
整租·北三环中路43号院2室1厅西北,海淀-马甸,70㎡,西北,2,1,1,8000 元/月
