author,href,mark,rating_nums,title
[美] 卡勒德·胡赛尼 ,https://book.douban.com/subject/1770782/,为你，千千万万遍,8.9,追风筝的人
[日] 东野圭吾 ,https://book.douban.com/subject/25862578/,一碗精心熬制的东野牌鸡汤，拒绝很难,8.5,解忧杂货店
[法] 圣埃克苏佩里 ,https://book.douban.com/subject/1084336/,献给长成了大人的孩子们,9.0,小王子
[日] 东野圭吾 ,https://book.douban.com/subject/3259440/,暗夜独行的残破灵魂，爱与恶本就难分难舍,9.1,白夜行
钱锺书 ,https://book.douban.com/subject/1008145/,对于“人艰不拆”四个字最彻底的违抗,8.9,围城
刘慈欣 ,https://book.douban.com/subject/2567698/,你我不过都是虫子,8.8,三体
[日] 东野圭吾 ,https://book.douban.com/subject/3211779/,数学好是一种极致的浪漫,8.9,嫌疑人X的献身
余华 ,https://book.douban.com/subject/4913064/,生的苦难与伟大,9.3,活着
[日] 村上春树 ,https://book.douban.com/subject/1046265/,村上之发轫，多少人的青春启蒙,8.0,挪威的森林
[哥伦比亚] 加西亚·马尔克斯 ,https://book.douban.com/subject/6082808/,尼采所谓的永劫复归，一场无始无终的梦魇,9.2,百年孤独
[清] 曹雪芹 著 ,https://book.douban.com/subject/1007305/,谁解其中味？,9.6,红楼梦
柴静 ,https://book.douban.com/subject/20427187/,在这里看见中国,8.8,看见
路遥 ,https://book.douban.com/subject/1200840/,中国当代城乡生活全景,9.0,平凡的世界（全三部）
刘慈欣 ,https://book.douban.com/subject/3066477/,无边的黑暗森林，比第一部更为恢弘壮丽,9.3,三体Ⅱ
刘慈欣 ,https://book.douban.com/subject/5363767/,终章，何去何从,9.2,三体Ⅲ
[捷克] 米兰·昆德拉 ,https://book.douban.com/subject/1017143/,朝向媚俗的一次伟大的进军,8.5,不能承受的生命之轻
[美] 丹·布朗 ,https://book.douban.com/subject/1040771/,一切畅销的因素都有了,8.2,达·芬奇密码
杨绛 ,https://book.douban.com/subject/1023045/,平淡，坚忍，温情,8.7,我们仨
高铭 ,https://book.douban.com/subject/4242172/,简称“疯癫与文明”,8.1,天才在左 疯子在右
[英] 夏洛蒂·勃朗特 ,https://book.douban.com/subject/1141406/,灰姑娘在十九世纪,8.5,简爱（英文全本）
[英] J. K. 罗琳 ,https://book.douban.com/subject/1041007/,羽加迪姆勒维奥萨！,9.0,哈利·波特与魔法石
当年明月 ,https://book.douban.com/subject/1873231/,历史本就是一件件“事儿”拼成的,8.7,明朝那些事儿（壹）
[英] 奥斯丁 ,https://book.douban.com/subject/1083428/,所有现代言情小说的母体,8.8,傲慢与偏见
龙应台 ,https://book.douban.com/subject/3995526/,不必追,8.7,目送
[日] 东野圭吾 ,https://book.douban.com/subject/3646172/,无缘由的恨，冰冷彻骨,8.4,恶意
三毛 ,https://book.douban.com/subject/1361264/,关于漂泊的一切,9.0,撒哈拉的故事
[哥伦比亚] 加西亚·马尔克斯 ,https://book.douban.com/subject/10594787/,义无反顾地直达爱情的核心,9.0,霍乱时期的爱情
[美国] 玛格丽特·米切尔 ,https://book.douban.com/subject/1068920/,革命时期的爱情，随风而逝,9.3,飘
余华 ,https://book.douban.com/subject/1029791/,余华的悲凉，都在那一碗炒猪肝里了,8.7,许三观卖血记
沈从文 ,https://book.douban.com/subject/1057244/,如水一般的忧愁与怅惘,8.6,边城
花城出版社 ,https://book.douban.com/subject/1090043/,一段姻缘，需要一座城的倾覆来成全,8.5,倾城之恋
刘瑜 ,https://book.douban.com/subject/4238362/,犀利又温柔，穿过胸口隐隐作痛,8.6,送你一颗子弹
姜戎 ,https://book.douban.com/subject/1022060/,我们都是 狼的传人？,8.2,狼图腾
[英] J. K. 罗琳 ,https://book.douban.com/subject/1071241/,小天狼星布莱克,9.0,哈利·波特与阿兹卡班的囚徒
[英] J. K. 罗琳 ,https://book.douban.com/subject/1009257/,整个系列的分水岭，暗色渐浓,9.0,哈利·波特与火焰杯
南派三叔 ,https://book.douban.com/subject/1948901/,想象奇诡的大型RPG游戏,8.3,盗墓笔记
[法] 玛格丽特·杜拉斯 ,https://book.douban.com/subject/1400705/,我已经老了，你呢？,8.1,情人
[英] J. K. 罗琳 ,https://book.douban.com/subject/1039487/,渐入佳境，魔法世界全貌初现,8.9,哈利·波特与密室
霍达 ,https://book.douban.com/subject/1082334/,时代烙印鲜明的民族史诗,8.1,穆斯林的葬礼
[美] 黄仁宇 ,https://book.douban.com/subject/1041482/,见微知著，历史观的颠覆,8.9,万历十五年
太宰治 ,https://book.douban.com/subject/4011670/,令人无从怜悯的绝望,8.3,人间失格
[日] 黑柳彻子 著 ,https://book.douban.com/subject/1007914/,真正懂孩子的教育经,8.7,窗边的小豆豆
海明威 ,https://book.douban.com/subject/1064275/,正是悲壮赋予生活以意义,8.4,老人与海
[日] 村上春树 ,https://book.douban.com/subject/4742918/,村上的野望，欢迎来到1Q84年,8.3,1Q84 BOOK 1
[英] 乔治·奥威尔 ,https://book.douban.com/subject/4820710/,栗树荫下，我出卖你，你出卖我,9.3,1984
王小波 ,https://book.douban.com/subject/1089243/,能把性爱写得如此坦荡的，大概只有王二了,8.8,黄金时代
